Year,Waitlist,Diabetes,Obesity,Overdose,Pct_O,Total_Adj,State
12/31/2019,488,14,36.1,17.3,50.4098361,486.45,Alabama
12/31/2019,824,10.9,36.1,23,50.9708738,810.11,Arizona
12/31/2019,193,13.6,37.4,15.6,55.9585492,192.48,Arkansas
12/31/2019,5566,10.1,26.2,12.25,51.2576356,5558.86,California
12/31/2019,545,7,23.8,17.2,47.3394495,538.54,Colorado
12/31/2019,410,9.6,29.1,30.8,48.5365854,410.72,Connecticut
12/31/2019,54,8.7,34.4,40.4,48.1481481,53.54,Delaware
12/31/2019,686,12.8,23.8,39.7,45.7725948,681.89,District of Columbia
12/31/2019,2756,11.7,27,23.95,49.2743106,2725.72,Florida
12/31/2019,1291,12,33.1,13.95,48.489543,1277.94,Georgia
12/31/2019,79,10.5,25,14.05,31.6455696,79.26,Hawaii
12/31/2019,1513,11.3,31.6,21.45,48.0502313,1519.09,Illinois
12/31/2019,523,12.4,35.3,27.5,44.3594646,520.13,Indiana
12/31/2019,381,10.3,33.9,10.55,50.3937008,380.22,Iowa
12/31/2019,217,10.8,35.2,12.1,48.3870968,216.85,Kansas
12/31/2019,372,13.3,36.5,34.05,44.8924731,371.46,Kentucky
12/31/2019,664,12.6,35.9,24.95,53.4638554,665.55,Louisiana
12/31/2019,66,10.6,31.7,31.15,54.5454545,65.75,Maine
12/31/2019,779,11,32.3,36.75,46.5982028,777.73,Maryland
12/31/2019,1091,8.4,25.2,32.3,47.7543538,1089.44,Massachusetts
12/31/2019,924,11.1,36,27.2,44.1558442,923.74,Michigan
12/31/2019,864,8.8,30.1,12.4,45.1388889,858.86,Minnesota
12/31/2019,403,14.8,40.8,11.5,47.8908189,403.66,Mississippi
12/31/2019,740,10.3,34.8,25.45,47.972973,738.09,Missouri
12/31/2019,207,10.2,34.1,7.75,46.8599034,206.05,Nebraska
12/31/2019,86,10.9,30.6,21.4,53.4883721,84.5,Nevada
12/31/2019,34,9.2,31.8,36.4,38.2352941,33.84,New Hampshire
