,State,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Alabama,0.05,0.06,0.06,0.07,0.08,0.08,0.08,0.09,0.09,0.08,0.09,0.09,0.1,0.11,0.11,0.12,0.12,0.12,0.14,0.13,0.14,0.15,0.14,0.15,0.14
1,Alaska,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.08,0.07,0.07,0.07,0.08,0.08,0.07,0.09,0.07
2,Arizona,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.08,0.08,0.08,0.08,0.09,0.1,0.11,0.11,0.1,0.1,0.11,0.1,0.11,0.11
3,Arkansas,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.1,0.1,0.11,0.11,0.12,0.13,0.13,0.14,0.12,0.14,0.14
4,California,0.05,0.05,0.06,0.06,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1
5,Colorado,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
6,Connecticut,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.09,0.09,0.08,0.09,0.09,0.1,0.1,0.1,0.1
7,Delaware,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.1,0.11,0.11,0.12,0.11,0.11,0.12,0.09
8,District of Columbia,0.05,0.05,0.06,0.06,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.09,0.13
9,Florida,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.11,0.12,0.12
10,Georgia,0.04,0.05,0.05,0.06,0.06,0.07,0.07,0.08,0.08,0.07,0.08,0.08,0.09,0.1,0.1,0.1,0.1,0.1,0.11,0.12,0.11,0.12,0.11,0.13,0.12
11,Hawaii,0.04,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.09,0.11,0.11,0.12,0.11
12,Idaho,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.08,0.08,0.08,0.09,0.09,0.1,0.1
13,Illinois,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.1,0.09,0.1,0.1,0.1,0.1,0.11,0.1,0.11
14,Indiana,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.12,0.13,0.12
15,Iowa,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.1
16,Kansas,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.1,0.09,0.1,0.1,0.1,0.09,0.11,0.12,0.11
