,Removal_Reason,State,ABO,To_Date,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,removal_category
0,All Removal Reason,All Center States,All ABO,"575,383","33,327","38,142","36,588","35,795","35,252","33,963","31,401","29,921","28,865","28,705","27,803","27,104","26,745","25,875","25,389","24,184","21,942","20,597","20,133","18,913","18,285","17,253","15,724","14,621","13,942","13,547",Total
1,All Removal Reason,All Center States,O,"273,549","16,028","18,394","17,604","17,262","17,017","16,392","15,032","14,327","13,733","13,701","13,369","13,068","12,714","12,452","12,056","11,495","10,511","9,915","9,599","8,942","8,691","7,997","7,416","6,804","6,459","6,307",Total
2,All Removal Reason,All Center States,A,"196,298","11,014","12,561","12,033","11,872","11,819","11,208","10,645","10,116","9,808","9,751","9,225","9,146","9,013","8,671","8,630","8,229","7,451","7,000","6,907","6,587","6,382","6,041","5,485","5,219","5,118","4,808",Total
3,All Removal Reason,All Center States,B,"82,113","4,970","5,640","5,503","5,249","5,099","4,942","4,507","4,268","4,122","4,086","4,059","3,811","3,955","3,683","3,635","3,495","3,115","2,878","2,820","2,622","2,501","2,464","2,196","2,006","1,791","1,839",Total
4,All Removal Reason,All Center States,AB,"23,527","1,315","1,547","1,449","1,412","1,317","1,421","1,217","1,210","1,203","1,169","1,150","1,079","1,063","1,070","1,068",966,867,804,807,762,712,751,627,592,575,593,Total
5,All Removal Reason,All Center States,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Total
6,All Removal Reason,Alabama,All ABO,"14,620",494,"1,016",952,821,707,703,689,734,655,702,705,675,811,656,634,628,518,543,535,478,484,387,316,304,325,334,Total
7,All Removal Reason,Alabama,O,"7,201",244,552,500,388,353,321,337,367,321,360,357,338,403,329,304,276,239,289,259,203,235,168,164,149,161,152,Total
8,All Removal Reason,Alabama,A,"4,513",150,284,287,222,206,222,214,225,200,197,189,209,260,197,203,226,172,155,178,179,159,132,100,100,108,117,Total
9,All Removal Reason,Alabama,B,"2,352",89,152,148,156,118,132,112,112,104,115,138,101,121,106,107,98,88,81,72,77,74,71,41,35,39,59,Total
10,All Removal Reason,Alabama,AB,557,11,28,17,55,30,28,26,30,30,30,21,27,27,24,20,28,19,18,26,19,16,16,11,20,17,6,Total
11,All Removal Reason,Arizona,All ABO,"12,504",930,"1,103",898,923,917,797,737,673,570,618,525,528,480,475,439,389,369,314,320,401,217,261,215,192,184,176,Total
12,All Removal Reason,Arizona,O,"6,353",475,537,459,504,446,422,376,313,297,306,260,275,233,249,223,190,195,166,168,216,100,133,111,102,103,100,Total
13,All Removal Reason,Arizona,A,"4,323",321,375,278,289,328,276,267,247,194,219,178,174,161,167,164,144,117,106,109,140,90,85,78,69,65,53,Total
14,All Removal Reason,Arizona,B,"1,413",104,150,121,102,112,77,71,93,57,62,75,64,69,42,35,45,48,35,34,38,20,27,20,20,11,20,Total
15,All Removal Reason,Arizona,AB,415,30,41,40,28,31,22,23,20,22,31,12,15,17,17,17,10,9,7,9,7,7,16,6,1,5,3,Total
16,All Removal Reason,Arkansas,All ABO,"3,256",174,218,158,139,138,136,111,140,156,147,144,165,141,153,152,136,138,115,122,98,108,94,87,110,87,85,Total
17,All Removal Reason,Arkansas,O,"1,635",107,130,81,73,63,70,53,72,77,80,60,77,75,71,83,65,74,54,46,44,46,46,42,53,47,44,Total
18,All Removal Reason,Arkansas,A,"1,075",49,61,46,41,47,48,39,46,53,43,54,69,48,52,35,51,38,39,49,43,44,29,28,42,24,24,Total
19,All Removal Reason,Arkansas,B,442,15,20,26,21,23,14,12,16,23,22,22,13,14,25,28,19,25,17,22,10,17,16,12,13,11,12,Total
20,All Removal Reason,Arkansas,AB,106,3,7,5,4,5,4,7,6,3,2,8,6,4,5,6,1,1,5,5,1,1,3,5,2,5,5,Total
21,All Removal Reason,California,All ABO,"84,066","4,509","4,909","4,850","4,619","4,764","4,517","4,182","4,465","4,281","4,375","4,269","4,020","4,316","4,558","4,493","4,656","3,488","3,196","2,925","2,626","2,408","2,487","2,393","1,944","1,924","1,945",Total
22,All Removal Reason,California,O,"41,130","2,214","2,375","2,399","2,301","2,409","2,299","2,076","2,170","2,102","2,128","2,143","2,040","2,073","2,225","2,206","2,287","1,681","1,582","1,414","1,267","1,164","1,181","1,188",950,948,910,Total
23,All Removal Reason,California,A,"27,139","1,406","1,552","1,523","1,440","1,471","1,411","1,298","1,434","1,382","1,465","1,324","1,295","1,409","1,424","1,471","1,485","1,140","1,047",968,892,814,846,782,614,658,642,Total
24,All Removal Reason,California,B,"12,385",701,804,738,701,704,622,646,664,625,623,613,524,651,716,650,705,513,424,439,365,340,363,350,298,252,288,Total
25,All Removal Reason,California,AB,"3,424",188,178,190,177,180,185,162,197,172,159,189,161,183,193,166,179,154,143,104,102,90,97,73,82,66,105,Total
26,All Removal Reason,Colorado,All ABO,"9,385",526,686,782,719,642,480,486,494,437,465,448,400,379,324,343,372,291,310,300,259,263,223,213,202,164,172,Total
27,All Removal Reason,Colorado,O,"4,446",233,328,383,345,316,238,209,226,203,216,211,198,183,155,163,175,150,154,139,121,121,102,101,89,79,89,Total
28,All Removal Reason,Colorado,A,"3,454",215,245,279,265,231,163,185,182,161,171,162,135,131,123,133,137,98,102,117,103,101,97,74,81,69,59,Total
29,All Removal Reason,Colorado,B,"1,131",61,86,90,90,75,54,72,71,52,56,61,43,47,37,30,48,32,43,37,22,29,20,34,21,12,19,Total
30,All Removal Reason,Colorado,AB,356,17,27,30,19,20,25,20,15,21,22,14,24,18,9,17,12,11,11,7,13,12,4,4,11,4,5,Total
31,All Removal Reason,Connecticut,All ABO,"6,172",382,409,424,449,384,308,322,289,313,319,321,245,209,171,168,185,189,172,185,186,169,164,172,174,178,137,Total
32,All Removal Reason,Connecticut,O,"2,886",175,197,207,196,187,146,149,122,146,139,145,105,101,87,80,91,101,78,90,90,79,81,89,69,73,67,Total
33,All Removal Reason,Connecticut,A,"2,077",120,126,141,166,117,106,118,104,102,111,117,94,63,51,59,55,64,61,64,65,48,54,47,69,68,38,Total
34,All Removal Reason,Connecticut,B,937,73,71,64,69,64,42,43,50,48,48,46,38,31,24,22,26,19,26,21,23,28,22,27,29,30,27,Total
35,All Removal Reason,Connecticut,AB,272,14,15,12,18,16,14,12,13,17,21,13,8,14,9,7,13,5,7,10,8,14,7,9,7,7,5,Total
36,All Removal Reason,Delaware,All ABO,"1,213",51,65,84,113,106,149,151,121,105,85,60,54,39,26,3,6,6,3,5,5,3,0,1,4,2,1,Total
37,All Removal Reason,Delaware,O,570,26,29,38,48,54,69,70,61,49,40,24,25,20,12,0,2,2,1,3,1,2,0,0,3,0,0,Total
38,All Removal Reason,Delaware,A,390,19,21,24,35,30,43,54,39,38,28,25,21,10,9,1,3,3,1,1,2,1,0,1,0,1,0,Total
39,All Removal Reason,Delaware,B,210,5,11,20,28,19,32,19,19,13,14,9,6,6,5,2,1,0,1,1,2,0,0,0,1,1,1,Total
40,All Removal Reason,Delaware,AB,43,1,4,2,2,3,5,8,2,5,3,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,Total
41,All Removal Reason,District of Columbia,All ABO,"9,263",638,697,586,503,503,885,406,444,293,304,389,432,343,355,455,446,425,306,321,328,274,305,265,197,192,254,Total
42,All Removal Reason,District of Columbia,O,"4,496",323,369,275,241,234,450,183,226,146,159,188,222,162,184,255,195,180,146,151,173,128,115,135,96,88,118,Total
43,All Removal Reason,District of Columbia,A,"2,762",181,179,176,173,152,239,130,126,93,82,118,116,102,105,117,150,136,94,94,85,82,113,75,57,60,79,Total
44,All Removal Reason,District of Columbia,B,"1,617",108,120,115,68,104,167,67,71,37,51,67,76,67,53,71,86,88,51,60,55,55,60,41,35,35,47,Total
45,All Removal Reason,District of Columbia,AB,390,26,29,20,21,13,29,26,21,17,12,16,18,12,13,12,15,22,15,16,15,9,17,14,9,9,10,Total
46,All Removal Reason,Florida,All ABO,"31,339","2,327","2,410","2,290","1,892","1,865","1,902","1,564","1,408","1,264","1,548","1,333","1,287","1,356","1,273","1,187","1,166","1,100",945,904,904,826,812,708,707,601,633,Total
47,All Removal Reason,Florida,O,"15,006","1,119","1,167","1,080",933,904,905,721,696,594,751,659,622,628,644,595,536,549,444,444,426,420,377,356,335,264,315,Total
48,All Removal Reason,Florida,A,"10,555",789,791,778,614,612,653,543,483,437,507,417,414,465,400,372,422,345,338,284,301,273,289,236,238,222,209,Total
49,All Removal Reason,Florida,B,"4,503",335,344,343,267,282,258,235,182,178,233,201,200,207,178,162,171,161,140,134,137,104,115,82,102,85,86,Total
50,All Removal Reason,Florida,AB,"1,281",84,108,89,78,67,86,65,47,55,58,56,51,56,51,58,37,45,23,42,40,29,31,34,32,30,23,Total
51,All Removal Reason,Georgia,All ABO,"18,745","1,313","1,590","1,479","1,483","1,657","1,236",962,850,888,870,866,687,655,585,565,512,542,452,466,469,438,365,341,328,378,308,Total
52,All Removal Reason,Georgia,O,"8,959",630,741,691,751,804,562,439,387,430,419,419,342,327,271,260,265,266,232,215,209,221,181,168,151,185,159,Total
53,All Removal Reason,Georgia,A,"5,973",408,500,451,450,495,390,315,300,286,290,269,215,195,192,188,162,159,133,176,166,145,133,103,117,116,104,Total
54,All Removal Reason,Georgia,B,"3,017",211,268,266,227,287,220,164,127,135,136,148,102,114,99,98,68,91,67,63,71,53,34,57,47,63,36,Total
55,All Removal Reason,Georgia,AB,798,64,81,71,55,71,64,44,36,37,25,30,28,19,23,19,17,26,20,12,23,19,17,13,13,14,9,Total
56,All Removal Reason,Hawaii,All ABO,"2,189",65,110,155,104,109,143,87,98,82,79,86,88,103,93,110,136,105,86,86,73,62,61,51,44,49,36,Total
57,All Removal Reason,Hawaii,O,846,17,43,53,41,48,53,38,41,20,33,33,33,30,42,34,75,48,27,43,20,23,21,22,21,21,12,Total
58,All Removal Reason,Hawaii,A,758,34,33,56,33,42,39,29,30,35,31,25,34,37,26,38,33,31,33,30,31,24,25,11,18,21,17,Total
59,All Removal Reason,Hawaii,B,462,8,28,39,21,16,39,17,19,24,13,21,18,27,22,29,23,20,22,11,17,11,9,15,5,5,5,Total
60,All Removal Reason,Hawaii,AB,123,6,6,7,9,3,12,3,8,3,2,7,3,9,3,9,5,6,4,2,5,4,6,3,0,2,2,Total
61,All Removal Reason,Illinois,All ABO,"27,232","1,297","1,545","1,454","1,523","1,692","1,404","1,419","1,388","1,253","1,282","1,248","1,314","1,163","1,135","1,232","1,199","1,167","1,095","1,082",933,957,865,837,826,831,727,Total
62,All Removal Reason,Illinois,O,"12,828",637,769,713,747,830,654,638,662,602,610,575,602,568,546,549,543,548,525,515,420,421,372,377,374,408,337,Total
63,All Removal Reason,Illinois,A,"9,111",436,464,462,494,531,453,480,461,412,426,433,449,382,377,438,388,408,394,362,323,370,309,281,280,280,238,Total
64,All Removal Reason,Illinois,B,"4,149",182,251,225,226,257,245,240,206,185,183,183,205,162,175,186,201,165,128,166,157,128,152,135,126,123,114,Total
65,All Removal Reason,Illinois,AB,"1,151",42,61,54,56,74,52,61,59,54,63,57,58,51,37,59,67,46,48,39,33,38,32,44,46,21,38,Total
66,All Removal Reason,Indiana,All ABO,"8,862",538,581,534,534,564,565,547,515,560,501,474,419,372,384,285,309,289,283,250,203,195,170,179,142,158,167,Total
67,All Removal Reason,Indiana,O,"4,078",234,294,255,233,229,245,235,258,270,239,223,206,171,177,128,128,120,140,116,91,74,79,88,71,74,79,Total
68,All Removal Reason,Indiana,A,"3,380",209,191,176,209,245,224,222,179,203,197,163,150,148,134,119,129,125,112,102,70,83,63,64,54,63,66,Total
69,All Removal Reason,Indiana,B,"1,095",83,77,91,77,71,67,71,58,58,51,68,45,38,54,29,37,34,23,25,36,29,20,26,13,14,19,Total
70,All Removal Reason,Indiana,AB,309,12,19,12,15,19,29,19,20,29,14,20,18,15,19,9,15,10,8,7,6,9,8,1,4,7,3,Total
71,All Removal Reason,Iowa,All ABO,"4,873",333,345,354,326,274,277,268,311,256,242,254,210,169,149,148,138,131,134,140,127,129,131,109,115,103,98,Total
72,All Removal Reason,Iowa,O,"2,248",154,171,166,159,114,133,105,134,135,103,136,90,88,79,60,56,55,63,73,62,51,53,48,49,51,49,Total
73,All Removal Reason,Iowa,A,"1,832",113,127,118,110,111,103,112,125,80,99,80,80,54,44,61,60,58,46,58,42,60,52,49,56,38,39,Total
74,All Removal Reason,Iowa,B,629,57,36,60,39,42,33,41,45,30,26,32,34,25,19,21,20,15,19,7,17,14,17,10,9,8,9,Total
75,All Removal Reason,Iowa,AB,165,9,11,10,18,7,8,10,7,11,14,6,6,2,7,6,2,3,6,2,6,4,9,2,1,6,1,Total
76,All Removal Reason,Kansas,All ABO,"3,593",218,197,178,179,240,222,219,192,209,183,160,194,177,138,110,121,126,111,119,99,88,107,77,85,55,74,Total
77,All Removal Reason,Kansas,O,"1,674",104,94,83,83,118,105,101,84,90,92,72,97,82,61,55,64,73,46,53,41,38,44,36,41,28,29,Total
78,All Removal Reason,Kansas,A,"1,355",78,68,72,72,90,87,81,73,93,68,62,64,51,60,37,41,41,42,46,43,33,47,29,30,16,32,Total
79,All Removal Reason,Kansas,B,442,29,29,17,21,28,27,30,20,24,15,16,27,39,10,13,11,11,18,13,11,13,11,12,13,6,12,Total
80,All Removal Reason,Kansas,AB,122,7,6,6,3,4,3,7,15,2,8,10,6,5,7,5,5,1,5,7,4,4,5,0,1,5,1,Total
81,All Removal Reason,Kentucky,All ABO,"5,387",347,407,375,354,306,268,280,257,258,215,209,214,202,204,179,191,163,182,172,161,166,148,153,147,143,128,Total
