,Race,State ,ABO,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
0,White,Alabama,A,18,10,25,17,11,15,28,18,16,22,15,32,21,19,19,19,23,21,26,18,21,14,16,16,17,12,12,17,14,15,10,10,8
1,White,Alaska,A,1,3,3,1,0,4,4,2,4,2,4,5,2,5,1,5,4,3,2,5,3,2,1,3,1,3,2,1,3,4,2,1,4
2,White,Arizona,A,22,23,28,14,18,23,27,25,32,28,19,37,31,28,21,20,26,19,22,25,18,15,8,14,15,7,8,13,7,6,7,5,1
3,White,Arkansas,A,9,5,8,5,6,4,5,4,5,10,8,3,6,9,9,11,7,9,13,6,14,8,13,9,9,12,10,7,6,5,8,6,10
4,White,California,A,65,106,123,70,69,89,79,93,99,92,106,104,98,88,93,96,98,97,78,80,92,72,67,75,46,64,59,49,48,37,38,29,35
5,White,Colorado,A,33,30,35,42,29,26,31,27,26,33,32,17,22,32,22,24,20,7,24,29,31,16,12,11,16,9,11,10,3,6,7,2,5
6,White,Connecticut,A,15,27,24,22,15,26,13,15,18,17,18,10,7,20,13,17,9,12,18,23,26,17,16,18,9,11,10,8,9,5,3,1,3
7,White,Delaware,A,6,5,3,2,4,3,2,0,4,4,4,3,3,4,6,5,3,2,5,4,3,4,2,2,1,4,4,1,2,2,0,1,1
8,White,District of Columbia,A,2,3,6,3,5,0,3,5,1,4,0,2,3,0,2,2,1,0,2,2,0,0,0,0,1,0,0,1,4,1,2,0,1
9,White,Florida,A,33,57,54,54,44,49,38,49,44,41,40,44,48,36,57,57,51,51,35,28,22,34,45,32,23,35,25,24,27,23,18,11,15
10,White,Georgia,A,27,44,45,29,39,37,24,38,28,32,25,29,22,33,27,35,32,21,32,20,21,18,14,11,16,24,28,18,10,13,12,13,12
11,White,Hawaii,A,2,1,3,3,2,0,2,6,1,3,1,3,1,0,6,2,0,1,2,2,0,2,2,1,0,3,3,2,1,0,1,1,0
12,White,Idaho,A,12,10,7,6,5,8,12,5,8,9,11,7,5,6,12,12,9,8,6,9,7,6,8,5,4,3,5,2,5,5,4,4,5
13,White,Illinois,A,49,64,55,53,52,58,49,56,56,56,90,76,51,48,64,60,63,69,57,47,33,35,39,36,35,44,42,28,22,28,23,25,21
14,White,Indiana,A,21,30,34,38,33,43,33,33,27,38,42,39,36,27,38,20,37,28,28,31,29,23,17,15,14,20,15,16,13,12,20,22,11
15,White,Iowa,A,9,16,14,18,19,22,24,22,19,21,19,20,8,19,22,27,21,19,22,17,28,23,13,18,16,19,18,13,14,8,8,4,9
16,White,Kansas,A,9,9,19,11,12,5,8,3,8,10,8,13,8,13,10,10,13,10,6,17,9,10,10,11,9,7,4,8,4,8,3,5,3
17,White,Kentucky,A,12,23,15,19,14,12,17,18,18,15,14,17,15,12,18,29,22,17,21,21,18,21,14,12,10,15,12,11,11,10,12,9,10
18,White,Louisiana,A,9,12,14,16,14,12,18,16,7,19,20,15,11,19,13,10,17,13,5,17,15,9,9,12,11,6,10,8,4,11,6,7,4
19,White,Maine,A,10,16,8,14,11,11,11,9,6,4,5,8,7,6,8,13,7,12,6,10,9,8,5,3,4,6,6,2,2,4,4,3,7
20,White,Maryland,A,18,31,20,23,30,23,39,29,29,27,23,29,22,22,32,21,28,31,29,31,26,25,30,26,14,14,12,15,9,12,6,5,7
21,White,Massachusetts,A,14,38,30,22,22,31,29,32,35,25,38,30,44,36,32,41,24,35,35,21,24,22,26,24,18,33,18,25,18,21,18,15,15
22,White,Michigan,A,37,47,62,50,49,48,53,48,55,51,60,48,63,65,59,79,75,65,65,62,55,53,49,50,37,43,41,30,34,34,23,24,20
23,White,Minnesota,A,24,46,34,54,53,42,43,40,38,45,61,62,49,69,63,68,58,55,51,68,37,44,36,25,39,36,36,41,21,30,14,16,15
24,White,Mississippi,A,5,8,7,5,7,5,9,2,6,8,9,7,7,4,9,15,4,3,14,8,4,7,7,5,6,5,6,9,4,2,4,2,2
25,White,Missouri,A,27,30,27,24,26,13,19,25,20,23,22,17,18,35,27,23,25,31,21,28,29,24,18,31,15,20,19,18,11,26,13,10,12
26,White,Montana,A,5,8,7,2,6,3,4,6,3,6,8,3,6,5,8,5,3,4,8,7,4,9,8,2,4,6,7,2,3,3,3,2,4
27,White,Nebraska,A,5,15,8,12,5,8,13,11,15,16,8,10,11,11,10,17,20,9,11,5,8,11,5,6,5,7,8,4,3,3,3,4,3
28,White,Nevada,A,6,4,4,5,3,5,4,6,9,6,5,7,9,7,7,8,10,8,2,9,9,10,9,5,8,5,7,2,4,3,0,1,1
29,White,New Hampshire,A,8,9,13,12,8,12,7,6,12,4,11,7,7,18,12,7,13,11,6,8,11,4,8,9,4,4,5,4,3,2,6,4,3
30,White,New Jersey,A,41,71,42,56,36,45,38,50,37,56,41,37,47,50,24,46,32,35,43,48,33,29,25,23,13,11,12,8,10,15,13,5,6
31,White,New Mexico,A,3,3,4,4,2,2,4,4,2,8,10,1,5,8,4,5,5,10,7,1,4,3,4,5,2,8,1,2,1,1,2,0,2
32,White,New York,A,59,83,97,88,65,78,82,73,68,60,81,83,88,80,64,70,73,62,69,58,71,48,48,42,36,41,34,41,29,26,27,19,31
33,White,North Carolina,A,28,48,34,30,24,36,29,31,20,27,25,23,29,22,32,27,45,34,31,22,25,29,25,20,8,21,17,14,15,16,12,8,9
34,White,North Dakota,A,6,4,7,7,5,4,5,9,3,10,7,4,3,5,8,4,2,11,7,10,2,5,8,2,5,1,4,1,2,3,3,2,2
35,White,Ohio,A,38,88,67,70,66,60,81,58,74,57,73,68,68,79,94,89,95,75,87,78,66,41,41,35,48,36,41,23,20,28,22,25,23
36,White,Oklahoma,A,6,12,8,10,7,11,10,12,8,13,20,11,9,11,9,6,14,16,12,12,9,7,12,7,7,6,3,10,10,1,5,3,5
37,White,Oregon,A,13,21,22,12,13,13,13,19,18,10,17,24,22,19,18,22,20,28,29,30,27,14,8,15,8,8,11,10,7,15,3,5,9
38,White,Pennsylvania,A,51,83,80,71,76,79,64,77,75,55,58,59,60,62,89,79,72,61,72,60,50,48,32,33,41,32,29,29,29,28,15,15,31
39,White,Puerto Rico,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0
40,White,Rhode Island,A,2,5,8,5,7,3,3,6,7,3,2,3,5,4,8,7,6,11,8,6,10,6,4,3,7,2,5,3,5,4,2,2,4
41,White,South Carolina,A,13,14,9,19,15,15,14,14,10,11,14,11,7,17,9,16,9,8,16,13,8,18,16,16,7,7,11,14,10,5,10,3,8
42,White,South Dakota,A,4,8,5,8,5,3,4,5,5,10,5,4,5,7,11,7,16,7,3,7,6,3,2,4,3,4,2,2,1,0,5,4,2
43,White,State unassigned,A,59,13,17,13,13,17,22,12,5,13,10,10,11,8,7,11,10,14,18,14,16,14,9,9,9,10,3,18,21,20,26,12,11
44,White,Tennessee,A,17,22,16,25,14,26,15,18,33,20,19,21,22,28,30,28,36,38,24,20,26,28,13,18,12,9,15,14,12,12,15,13,5
45,White,Texas,A,88,85,76,86,70,79,59,80,53,65,59,75,64,52,36,53,55,49,63,57,43,40,46,32,28,32,29,28,29,25,26,16,20
46,White,Utah,A,10,29,14,17,16,14,24,18,19,20,16,22,20,19,21,13,26,26,11,22,15,16,15,14,13,8,12,13,5,17,4,5,8
47,White,Vermont,A,2,1,4,2,2,3,5,3,5,6,3,1,8,4,3,6,4,2,2,3,4,3,4,1,3,5,3,1,3,4,3,1,1
48,White,Virginia,A,42,40,45,36,36,31,26,28,42,33,35,28,45,48,62,38,39,48,45,39,33,29,32,21,18,20,18,10,11,11,10,11,10
49,White,Washington,A,22,39,24,25,21,20,20,21,23,29,33,22,26,30,25,33,29,33,35,28,24,24,26,25,16,19,16,13,12,9,9,12,15
50,White,West Virginia,A,1,11,7,2,5,6,4,3,0,4,4,4,10,15,20,13,9,8,5,8,6,10,6,8,7,2,6,4,4,8,7,3,6
51,White,Wisconsin,A,37,56,59,39,45,42,43,29,48,34,25,33,39,33,43,51,46,53,57,37,29,29,31,27,42,19,18,15,19,19,16,19,16
52,White,Wyoming,A,3,3,4,5,2,3,0,2,4,1,1,1,1,3,3,2,5,2,4,1,1,4,5,4,3,0,2,2,1,2,0,0,2
53,Black,Alabama,A,1,2,4,6,2,1,4,4,2,2,3,4,3,3,4,3,3,4,3,6,4,3,0,2,5,2,2,4,1,2,4,2,1
54,Black,Alaska,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
55,Black,Arizona,A,1,1,0,0,2,1,1,0,1,1,2,3,1,2,2,0,0,1,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0
56,Black,Arkansas,A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,5,0,1,1,1,1,3,2,2,2,1,1,0,1
57,Black,California,A,0,6,11,5,8,8,3,9,11,6,6,8,14,5,9,4,6,6,8,5,6,9,4,15,3,5,6,6,3,6,6,0,2
58,Black,Colorado,A,0,1,0,1,1,1,1,0,0,1,1,0,0,2,0,0,0,0,1,1,0,1,1,0,2,0,0,0,0,0,1,0,0
59,Black,Connecticut,A,0,1,0,0,2,0,1,3,1,1,1,2,4,1,0,0,1,0,0,5,2,1,0,0,1,2,1,1,0,0,0,1,0
60,Black,Delaware,A,0,0,0,1,0,0,0,0,3,0,1,3,0,0,2,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
61,Black,District of Columbia,A,2,0,1,1,1,1,0,0,0,3,0,4,0,1,1,1,1,0,0,1,1,5,2,1,4,2,0,3,0,0,1,1,0
62,Black,Florida,A,4,2,4,4,5,7,4,12,6,7,5,7,5,2,2,6,9,6,2,5,4,2,3,2,0,1,1,2,2,2,1,0,0
63,Black,Georgia,A,9,11,5,11,6,7,11,10,4,6,10,2,9,4,6,6,3,10,6,3,7,5,5,1,1,2,4,3,4,3,2,1,2
64,Black,Hawaii,A,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Black,Idaho,A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
66,Black,Illinois,A,1,10,6,5,8,10,7,10,6,10,14,10,9,6,14,12,16,14,12,10,10,10,7,2,4,6,5,3,0,1,3,2,4
67,Black,Indiana,A,1,1,0,2,0,1,2,3,0,3,2,1,0,2,4,3,0,2,1,3,0,0,2,4,3,0,1,1,2,2,1,1,0
68,Black,Iowa,A,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
69,Black,Kansas,A,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,2,0,0,0
70,Black,Kentucky,A,0,1,0,0,2,1,0,0,0,1,0,1,0,0,0,2,2,1,2,0,0,1,4,2,1,1,0,0,2,0,1,1,0
71,Black,Louisiana,A,0,5,1,2,3,1,4,2,3,4,3,7,2,4,2,9,8,4,3,2,4,5,2,5,7,0,4,5,3,0,1,2,1
72,Black,Maine,A,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
73,Black,Maryland,A,3,7,13,7,7,3,11,6,3,7,15,9,7,11,11,8,4,14,11,8,15,12,12,6,6,5,8,6,4,4,5,1,1
74,Black,Massachusetts,A,0,0,0,1,3,0,0,3,2,0,4,2,2,3,3,4,2,1,2,0,1,1,1,1,1,0,0,2,0,0,0,0,0
75,Black,Michigan,A,1,2,4,3,8,6,0,0,2,4,1,3,8,7,9,6,12,10,10,3,6,6,7,4,10,5,4,2,2,1,2,1,0
76,Black,Minnesota,A,2,0,2,0,1,0,1,2,0,1,2,0,0,2,1,2,2,3,4,3,2,0,1,1,0,0,1,0,0,2,0,0,0
77,Black,Mississippi,A,0,0,1,2,4,2,0,1,0,2,1,2,0,2,3,1,2,2,3,2,0,3,3,1,3,0,0,1,0,0,0,1,0
78,Black,Missouri,A,2,0,2,2,0,1,1,0,0,3,0,1,2,0,0,3,0,3,1,2,2,1,0,1,1,1,0,0,1,2,1,5,1
79,Black,Nebraska,A,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0
80,Black,Nevada,A,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1
81,Black,New Hampshire,A,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Black,New Jersey,A,3,5,6,5,5,3,5,7,6,3,7,6,4,6,3,9,3,12,6,5,6,3,3,3,2,0,1,3,0,1,0,0,1
83,Black,New Mexico,A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Black,New York,A,2,12,14,11,12,12,15,10,9,9,9,14,12,10,14,18,13,6,8,13,10,7,9,8,5,9,4,5,3,4,2,0,6
85,Black,North Carolina,A,1,2,1,2,4,6,0,4,3,5,3,5,5,9,6,7,9,10,2,5,6,5,8,8,2,6,4,5,1,1,1,3,5
