,State,ABO,Ethnicity,To_Date,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
0,All Center States,All ABO,All Ethnicities,634539,33043,41105,38799,35593,35417,35033,36154,36393,34831,33560,34400,33646,32579,32371,31209,29132,27274,24617,23644,22497,22378,21835,19473,18405,17732,17257
1,All Center States,All ABO,White,301516,13937,17317,16378,15661,15530,15365,15817,15982,15675,15382,15958,15671,15388,15374,15161,14337,13145,11989,11836,11441,11709,11952,10449,9845,9760,9510
2,All Center States,All ABO,Black,177840,9371,11804,10925,9877,10026,10251,10661,10682,9992,9779,10070,9801,9471,9399,8820,8094,7605,6960,6642,6376,6256,5914,5504,5180,5073,4760
3,All Center States,All ABO,Hispanic,107669,6485,7976,7529,6634,6584,6256,6363,6459,6197,5709,5752,5674,5308,5130,4955,4432,4260,3881,3382,3047,2882,2594,2232,2161,1784,1818
4,All Center States,All ABO,Unknown,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
5,All Center States,All ABO,Asian,39572,2482,3035,3030,2632,2531,2467,2636,2566,2314,2102,2061,1970,1898,1931,1781,1747,1635,1286,1222,1108,1067,962,824,772,720,672
6,All Center States,All ABO,American Indian/Alaska Native,6690,264,357,323,320,325,278,350,352,402,338,318,289,315,306,292,312,285,225,237,241,229,213,190,181,198,225
7,All Center States,All ABO,Pacific Islander,3519,176,217,204,147,170,181,149,169,174,153,96,139,121,136,111,136,192,140,173,163,170,96,123,149,87,71
8,All Center States,All ABO,Multiracial,5617,400,515,488,392,315,297,257,251,153,165,187,162,140,157,155,142,217,188,200,150,102,139,175,127,121,225
9,All Center States,O,All Ethnicities,305995,16154,20142,18961,17206,17454,16980,17581,17643,16975,16237,16668,16325,15759,15781,15106,14114,13338,11961,11496,10868,10843,10481,9399,8862,8553,8236
10,All Center States,O,White,134409,6220,7740,7399,6916,7031,6867,7108,7151,6898,6856,7121,7024,6860,6958,6817,6472,6050,5484,5329,5202,5407,5484,4812,4534,4438,4257
11,All Center States,O,Black,88409,4726,5909,5424,4923,5097,5124,5320,5312,5140,4844,5053,4899,4735,4709,4422,4008,3825,3484,3375,3193,3077,2951,2705,2580,2588,2381
12,All Center States,O,Hispanic,63187,3856,4810,4496,3931,3913,3674,3758,3806,3634,3377,3335,3343,3148,3056,2917,2618,2523,2213,1983,1748,1648,1442,1304,1216,1048,1030
13,All Center States,O,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,All Center States,O,Asian,15371,964,1173,1170,995,1011,959,1036,1000,913,826,837,783,720,752,686,707,617,500,504,433,446,368,319,295,270,277
15,All Center States,O,American Indian/Alaska Native,4282,162,231,201,210,203,175,223,218,282,230,211,177,206,191,188,194,162,146,158,158,152,128,125,118,119,144
16,All Center States,O,Pacific Islander,1516,75,96,88,70,70,63,72,67,70,56,31,60,49,64,42,63,87,62,67,73,81,44,62,64,35,32
17,All Center States,O,Multiracial,2755,190,245,223,193,167,145,107,122,74,83,104,75,68,79,64,82,104,92,108,79,51,78,85,60,60,126
18,All Center States,A,All Ethnicities,212210,10753,13310,12482,11709,11496,11479,11808,11907,11429,11234,11387,11084,10740,10650,10445,9674,9015,8164,7812,7549,7437,7419,6494,6271,6021,5868
19,All Center States,A,White,122502,5633,7005,6514,6395,6205,6189,6388,6472,6446,6316,6452,6280,6207,6136,6133,5731,5194,4685,4708,4528,4587,4668,4049,3875,3933,3826
20,All Center States,A,Black,45570,2394,2955,2752,2493,2545,2622,2693,2679,2468,2518,2554,2488,2350,2420,2269,2093,1959,1823,1644,1637,1586,1535,1420,1376,1267,1168
21,All Center States,A,Hispanic,31538,1821,2266,2166,1920,1871,1848,1855,1876,1793,1655,1718,1665,1530,1456,1446,1264,1236,1177,979,938,875,829,676,681,506,569
22,All Center States,A,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
23,All Center States,A,Asian,10169,648,790,754,659,619,595,661,658,533,562,503,475,489,479,455,449,421,344,314,290,264,264,233,214,199,185
24,All Center States,A,American Indian/Alaska Native,1876,81,91,97,85,105,78,101,102,99,95,83,91,93,90,77,78,95,63,61,71,66,66,47,42,61,61
25,All Center States,A,Pacific Islander,1139,59,74,63,49,59,69,54,65,60,58,35,45,48,44,37,42,59,34,59,44,46,29,25,43,27,21
26,All Center States,A,Multiracial,1741,136,159,158,130,106,97,77,78,53,48,54,50,44,45,52,35,71,59,56,47,25,40,51,44,29,47
27,All Center States,B,All Ethnicities,91545,4909,6078,5865,5305,5189,5201,5394,5489,5085,4830,4991,4917,4835,4684,4411,4180,3917,3569,3415,3219,3251,3088,2818,2573,2486,2499
28,All Center States,B,White,32722,1534,1928,1827,1741,1700,1673,1728,1753,1716,1628,1728,1773,1728,1706,1609,1576,1407,1349,1342,1286,1279,1327,1184,1060,1037,1071
29,All Center States,B,Black,36305,1877,2423,2285,2045,2015,2101,2200,2269,1993,2013,2041,1985,1976,1855,1735,1624,1548,1388,1353,1289,1328,1175,1145,1018,1010,995
30,All Center States,B,Hispanic,10562,674,746,724,641,653,608,613,635,624,545,576,535,522,514,480,445,407,397,328,274,295,272,203,212,182,190
31,All Center States,B,Asian,11272,724,861,888,797,748,729,770,744,692,591,583,564,568,547,516,472,468,361,323,310,291,264,213,214,196,173
32,All Center States,B,American Indian/Alaska Native,450,19,29,21,23,13,21,22,26,19,11,22,15,13,21,23,36,25,13,16,11,11,15,13,20,15,14
33,All Center States,B,Pacific Islander,662,31,32,41,21,35,39,15,29,33,28,22,26,18,22,25,26,36,38,33,33,31,21,30,33,20,15
34,All Center States,B,Multiracial,899,60,79,92,51,35,42,58,41,22,26,23,31,21,27,31,19,37,31,29,20,21,19,32,17,28,45
35,All Center States,AB,All Ethnicities,24899,1228,1576,1491,1374,1279,1374,1371,1355,1343,1260,1354,1323,1248,1259,1255,1166,1006,923,922,861,847,848,763,699,672,654
36,All Center States,AB,White,11925,550,644,638,610,594,636,593,606,616,582,657,595,593,575,606,558,495,471,457,425,436,474,404,376,352,356
37,All Center States,AB,Black,7590,374,518,464,416,370,405,448,423,391,405,422,430,411,416,396,370,274,265,270,257,265,253,234,206,208,216
38,All Center States,AB,Hispanic,2399,134,154,143,142,147,126,137,142,146,132,123,131,109,104,113,105,94,94,93,87,64,51,50,52,48,29
39,All Center States,AB,Asian,2767,146,211,218,181,153,184,169,164,176,123,138,149,122,153,125,119,129,81,81,75,66,66,59,49,55,37
40,All Center States,AB,American Indian/Alaska Native,83,2,6,4,2,4,4,4,6,2,2,2,6,3,4,4,4,3,3,2,1,0,4,5,1,3,6
41,All Center States,AB,Pacific Islander,202,11,15,12,7,6,10,8,8,11,11,8,8,6,6,7,5,10,6,14,13,12,2,6,9,5,3
42,All Center States,AB,Multiracial,222,14,32,15,18,7,13,15,10,4,8,6,6,7,6,8,6,5,6,7,4,5,2,7,6,4,7
43,Alabama,All ABO,All Ethnicities,15062,357,488,476,457,332,260,570,721,877,734,863,890,779,899,900,797,790,762,737,748,633,538,443,379,410,401
44,Alabama,All ABO,White,6361,156,184,196,192,142,112,201,262,340,280,338,342,340,380,385,345,344,308,324,345,303,249,216,182,187,174
45,Alabama,All ABO,Black,8334,184,283,253,244,180,132,349,435,516,437,510,525,417,499,493,436,437,440,394,390,317,277,222,191,219,214
46,Alabama,All ABO,Hispanic,161,13,12,13,10,6,9,6,10,8,11,3,16,4,7,10,5,2,5,6,2,6,3,0,0,0,7
47,Alabama,All ABO,Asian,174,3,6,10,8,4,6,11,13,7,4,10,7,15,9,9,10,6,8,9,4,4,7,3,1,3,2
48,Alabama,All ABO,American Indian/Alaska Native,41,1,2,3,3,0,1,2,0,5,1,0,0,1,4,2,1,0,1,3,5,0,2,1,3,0,0
49,Alabama,All ABO,Pacific Islander,9,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
50,Alabama,All ABO,Multiracial,21,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,2,0,1,2,2,1,1,1,1,4
51,Alabama,O,All Ethnicities,7475,194,246,242,228,166,132,273,341,469,366,425,450,400,444,443,399,377,387,369,365,293,243,216,187,202,177
52,Alabama,O,White,3068,78,86,99,88,76,47,88,118,170,139,162,178,174,179,184,163,165,146,157,163,140,117,107,89,96,70
53,Alabama,O,Black,4195,105,146,127,128,83,75,174,211,286,213,256,262,217,255,247,226,207,231,201,196,144,118,105,94,104,99
54,Alabama,O,Hispanic,117,10,9,10,9,5,6,5,9,6,10,2,8,3,5,4,3,2,5,5,1,5,2,0,0,0,5
55,Alabama,O,Asian,70,1,3,3,0,2,3,4,3,2,2,5,2,3,3,6,6,3,4,4,0,1,5,3,0,1,2
56,Alabama,O,American Indian/Alaska Native,34,0,1,3,3,0,1,2,0,4,1,0,0,1,2,2,1,0,1,2,4,0,2,1,3,0,0
57,Alabama,O,Pacific Islander,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
58,Alabama,O,Multiracial,8,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,1
59,Alabama,A,All Ethnicities,4578,92,150,133,144,103,78,187,222,252,221,254,247,229,264,270,254,254,234,218,245,211,178,128,128,135,130
60,Alabama,A,White,2476,55,75,69,82,50,45,84,107,130,110,122,120,129,155,157,147,136,118,121,138,128,93,77,70,73,82
61,Alabama,A,Black,2024,33,69,60,56,52,28,99,110,119,110,130,120,93,104,106,107,116,114,92,105,82,82,50,56,61,45
62,Alabama,A,Hispanic,34,2,3,2,1,0,3,1,1,2,1,1,6,1,2,5,0,0,0,0,0,1,1,0,0,0,2
63,Alabama,A,Asian,41,2,2,2,5,1,2,2,4,1,0,0,1,6,2,1,0,1,2,3,1,0,2,0,1,1,0
64,Alabama,A,American Indian/Alaska Native,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
65,Alabama,A,Pacific Islander,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Alabama,A,Multiracial,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,1,0,1
67,Alabama,B,All Ethnicities,2454,62,76,86,71,52,39,92,135,122,119,149,153,117,152,158,115,129,120,124,101,108,97,85,51,58,75
68,Alabama,B,White,612,21,20,21,16,13,15,20,30,30,23,37,33,27,34,27,27,30,36,36,26,30,26,27,18,12,14
69,Alabama,B,Black,1775,39,55,62,52,37,23,67,99,87,95,107,114,85,114,127,82,98,82,86,70,75,70,58,33,46,59
70,Alabama,B,Hispanic,10,1,0,1,0,1,0,0,0,0,0,0,2,0,0,1,2,0,0,1,1,0,0,0,0,0,0
71,Alabama,B,Asian,54,0,1,2,3,1,1,5,6,4,1,4,4,5,3,3,4,1,2,1,3,3,0,0,0,0,0
72,Alabama,B,American Indian/Alaska Native,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,Alabama,B,Pacific Islander,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Alabama,B,Multiracial,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2
75,Alabama,AB,All Ethnicities,558,9,16,15,14,11,11,18,23,34,28,35,40,33,39,31,29,30,21,26,37,21,20,14,13,15,19
76,Alabama,AB,White,205,2,3,7,6,3,5,9,7,10,8,17,11,10,12,17,8,13,8,10,18,5,13,5,5,6,8
77,Alabama,AB,Black,341,7,13,4,8,8,6,9,15,24,19,17,29,22,26,14,21,16,13,15,19,16,7,9,8,8,11
78,Alabama,AB,Asian,10,0,0,3,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0
79,Alabama,AB,Pacific Islander,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Alabama,AB,Multiracial,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Arizona,All ABO,All Ethnicities,13534,742,824,883,858,967,777,767,800,838,720,681,609,654,610,611,456,421,355,324,442,289,370,273,215,172,193
82,Arizona,All ABO,White,6285,335,398,381,391,396,343,358,327,351,335,337,289,306,250,300,213,217,180,164,227,153,181,144,122,98,109
83,Arizona,All ABO,Black,1197,86,70,81,68,105,98,70,91,90,77,52,54,52,48,54,37,22,17,22,34,12,37,17,14,13,9
84,Arizona,All ABO,Hispanic,3940,213,228,265,246,294,222,222,244,243,200,192,183,193,207,176,137,119,103,93,106,73,103,67,61,38,43
85,Arizona,All ABO,Asian,589,45,47,61,63,55,38,42,30,36,31,23,11,23,24,17,9,16,11,8,13,11,5,5,3,4,1
86,Arizona,All ABO,American Indian/Alaska Native,1287,39,52,65,69,97,59,59,86,108,60,65,62,69,70,52,52,42,39,34,59,35,40,33,16,17,27
87,Arizona,All ABO,Pacific Islander,104,11,7,10,12,10,13,5,8,5,7,0,5,2,3,2,1,1,3,1,1,2,0,3,0,0,0
88,Arizona,All ABO,Multiracial,192,13,22,20,9,10,4,11,14,5,11,12,5,9,8,10,7,4,2,2,4,3,5,4,0,2,4
89,Arizona,O,All Ethnicities,7036,389,420,455,453,505,377,391,386,439,372,351,320,343,343,311,235,236,198,162,242,145,204,148,115,82,109
90,Arizona,O,White,2809,149,198,177,167,170,138,163,138,147,150,151,124,137,112,128,83,109,90,73,112,69,87,70,58,42,54
