,State,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Alaska,0.157,0.16699999999999998,0.177,0.188,0.198,0.209,0.2177,0.2263,0.235,0.235,0.249,0.258,0.273,0.272,0.26899999999999996,0.259,0.27399999999999997,0.257,0.284,0.297,0.298,0.314,0.342,0.295,0.305
1,North Carolina,0.163,0.172,0.18100000000000002,0.19,0.19899999999999998,0.209,0.2193,0.2297,0.24,0.239,0.247,0.256,0.271,0.28300000000000003,0.294,0.294,0.29100000000000004,0.29600000000000004,0.294,0.297,0.301,0.318,0.321,0.33,0.34
2,Alabama,0.157,0.17,0.184,0.198,0.212,0.226,0.2453,0.2647,0.284,0.27699999999999997,0.287,0.294,0.301,0.312,0.316,0.32299999999999995,0.32,0.33,0.324,0.335,0.35600000000000004,0.35700000000000004,0.363,0.36200000000000004,0.361
3,North Dakota,0.152,0.162,0.17300000000000001,0.183,0.19399999999999998,0.205,0.2157,0.2263,0.237,0.239,0.24600000000000002,0.251,0.259,0.267,0.27699999999999997,0.28,0.278,0.297,0.31,0.322,0.31,0.319,0.332,0.35100000000000003,0.348
4,Arkansas,0.17,0.179,0.18899999999999997,0.19899999999999998,0.209,0.21899999999999997,0.23,0.24100000000000002,0.252,0.25,0.264,0.27,0.281,0.28600000000000003,0.301,0.306,0.309,0.345,0.34600000000000003,0.359,0.345,0.35700000000000004,0.35,0.371,0.374
5,Nebraska,0.152,0.161,0.171,0.18100000000000002,0.191,0.201,0.2137,0.2263,0.239,0.23399999999999999,0.244,0.254,0.265,0.26899999999999996,0.273,0.276,0.284,0.28600000000000003,0.29600000000000004,0.302,0.314,0.32,0.32799999999999996,0.341,0.341
6,Arizona,0.126,0.13,0.135,0.139,0.14400000000000002,0.149,0.1663,0.1837,0.201,0.203,0.20800000000000002,0.217,0.233,0.248,0.258,0.254,0.247,0.26,0.268,0.289,0.284,0.29,0.295,0.295,0.314
7,New Hampshire,0.129,0.135,0.141,0.14800000000000002,0.154,0.161,0.1747,0.1883,0.20199999999999999,0.19899999999999998,0.217,0.22399999999999998,0.23600000000000002,0.24100000000000002,0.254,0.256,0.262,0.273,0.267,0.27399999999999997,0.263,0.266,0.281,0.29600000000000004,0.318
8,California,0.139,0.14800000000000002,0.158,0.16699999999999998,0.177,0.187,0.20199999999999999,0.217,0.23199999999999998,0.215,0.22699999999999998,0.22699999999999998,0.231,0.23600000000000002,0.244,0.248,0.23800000000000002,0.25,0.24100000000000002,0.247,0.242,0.25,0.251,0.258,0.262
9,New Jersey,0.12300000000000001,0.132,0.141,0.151,0.16,0.17,0.1803,0.1907,0.201,0.203,0.214,0.222,0.22899999999999998,0.23399999999999999,0.239,0.24100000000000002,0.237,0.24600000000000002,0.263,0.26899999999999996,0.256,0.27399999999999997,0.273,0.257,0.257
