,State,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
0,All Center States,"3,378","3,552","3,408","3,244","3,191","2,804","2,655","2,531","2,378","2,322","2,332","2,212","2,163","2,209","2,193","2,125","2,015","2,057","2,155","2,202","2,199","2,188","2,348","2,293","2,343","2,363","2,340","2,297","2,170","2,127","2,107","1,705","1,676"
1,Alabama,24,29,36,36,20,26,29,31,22,32,24,17,19,23,31,24,14,30,25,25,38,29,36,46,50,39,42,41,28,31,37,20,21
2,Arizona,74,63,77,77,81,65,40,29,45,34,38,29,37,58,55,45,35,23,28,27,27,28,34,33,30,33,41,37,31,34,43,40,38
3,Arkansas,13,18,13,19,31,17,25,35,34,39,31,29,42,24,25,31,32,23,17,20,12,19,13,29,15,17,21,32,15,9,8,2,0
4,California,458,466,433,385,394,382,351,359,276,271,248,254,285,282,257,287,268,275,291,236,263,237,262,278,275,276,267,282,282,298,285,241,155
5,Colorado,42,54,63,39,49,49,37,23,26,38,30,26,31,34,27,30,37,31,40,39,37,41,53,40,37,47,51,63,40,17,27,21,18
6,Connecticut,69,70,43,33,22,17,28,19,26,33,29,21,26,18,14,23,13,12,19,25,23,28,25,32,33,34,23,24,25,29,21,26,21
7,Delaware,2,4,1,1,1,4,2,1,3,7,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,District of Columbia,35,22,25,24,26,23,18,18,7,11,9,11,2,5,7,6,12,7,5,5,9,10,12,16,17,18,14,23,13,25,18,13,20
9,Florida,257,236,246,243,243,175,147,125,139,149,155,154,146,155,141,137,130,130,118,136,102,118,133,131,108,106,88,95,93,82,74,67,50
10,Georgia,68,64,50,66,65,69,44,63,55,50,64,49,43,49,45,40,40,39,38,49,44,50,55,61,54,62,65,57,50,48,54,53,72
11,Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,2,2,2,2,2,4,1,0,4,1,6,3,3,3,1
12,Illinois,123,176,180,139,144,102,117,99,98,82,80,96,92,85,88,67,65,70,74,70,72,74,74,73,100,103,79,64,67,70,63,66,77
13,Indiana,62,83,61,59,69,51,54,58,52,53,45,40,43,34,34,36,41,44,30,56,44,37,46,53,58,52,72,58,56,58,60,48,65
14,Iowa,12,14,15,15,12,17,15,16,11,16,10,18,6,12,7,8,11,13,10,13,6,16,13,17,18,12,18,20,26,16,18,16,20
15,Kansas,40,23,23,14,2,0,0,0,0,0,0,2,6,7,8,7,7,5,2,1,7,10,8,9,13,20,10,18,18,23,19,11,14
16,Kentucky,31,41,49,57,54,55,24,25,27,23,26,23,19,16,20,32,24,26,36,27,35,28,40,31,36,34,38,45,27,42,21,16,18
17,Louisiana,20,26,25,33,23,30,27,29,20,27,36,29,20,22,19,22,24,39,61,47,50,53,73,57,72,88,93,70,73,58,38,18,13
18,Maryland,35,59,44,47,60,41,43,31,30,23,35,36,40,54,42,30,25,19,32,21,23,27,25,21,32,36,17,25,22,21,18,19,14
19,Massachusetts,99,120,139,110,121,80,73,65,58,56,58,79,92,71,61,49,64,42,54,62,58,59,63,69,65,66,55,67,67,58,52,47,39
20,Michigan,95,85,85,69,85,76,65,63,60,58,58,66,52,49,59,53,51,53,50,68,71,56,62,49,45,46,42,47,37,40,55,48,51
21,Minnesota,68,92,73,75,73,66,64,66,80,65,65,63,56,68,58,70,72,61,59,41,47,49,58,43,52,49,60,54,63,52,49,53,56
22,Mississippi,8,16,9,17,17,13,9,4,12,13,9,8,9,9,6,8,7,12,9,8,13,13,15,7,13,8,14,8,6,2,6,1,8
23,Missouri,98,107,93,105,98,88,94,106,103,91,99,85,93,82,91,72,50,55,63,58,68,79,80,82,89,84,101,94,79,92,57,66,79
24,Nebraska,40,43,47,51,45,38,42,28,23,17,21,14,11,14,18,7,1,3,6,6,6,5,9,10,14,17,19,11,10,9,11,6,8
25,New Jersey,15,37,49,64,67,71,66,79,77,73,66,47,50,44,46,47,47,37,43,33,29,38,20,17,19,18,20,21,26,16,12,0,0
26,New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,8,4,12,12,10,13,8,15,20,6,17
27,New York,230,255,260,207,188,166,152,154,173,159,162,154,129,149,149,158,144,153,163,175,144,115,135,95,109,118,109,104,122,119,129,95,69
