,State,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
0,All Center States,2362,2714,2530,2449,2327,2057,1925,1923,1754,1822,1769,1661,1478,1468,1405,1406,1172,1085,1042,1059,959,893,869,932,815,872,724,667,535,405,203,93,33
1,Alabama,12,8,19,18,15,17,21,24,18,23,18,12,26,27,34,20,22,36,28,34,39,31,30,27,25,27,23,11,9,6,2,1,0
2,Arizona,124,150,145,117,128,101,73,71,58,68,47,29,31,28,17,6,6,8,9,9,4,0,4,7,6,7,6,5,4,4,4,0,0
3,California,321,271,243,228,254,228,206,212,192,190,177,184,190,192,165,182,170,137,138,114,83,86,100,110,98,105,83,70,40,35,28,17,1
4,Colorado,30,44,44,30,27,23,28,30,25,28,27,25,28,37,28,42,29,36,36,46,29,21,21,21,19,21,21,14,10,3,2,2,2
5,Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,4,2,0,0
6,Florida,194,210,194,181,165,137,86,120,120,148,139,120,117,119,123,95,71,69,58,44,26,25,28,29,20,24,17,0,0,0,0,0,0
7,Georgia,16,25,9,20,19,20,25,32,34,29,31,35,27,25,27,26,28,19,11,14,9,9,12,11,9,7,8,3,0,0,0,0,1
8,Illinois,87,96,100,92,72,86,88,52,33,44,52,57,60,54,34,38,34,31,26,30,39,44,28,38,44,42,36,50,28,9,4,1,2
9,Indiana,39,30,51,65,52,60,62,49,50,41,39,29,31,31,38,51,42,45,31,27,32,16,22,15,16,11,17,23,15,23,5,2,0
10,Iowa,23,15,17,11,15,16,12,16,14,14,20,15,12,5,0,0,0,0,0,0,0,0,0,0,2,1,6,8,6,5,0,2,2
11,Kentucky,22,45,36,41,38,21,32,41,39,35,20,15,36,22,24,30,15,16,18,15,22,30,16,16,20,38,26,13,5,2,0,1,0
12,Louisiana,29,28,22,35,28,30,25,21,18,24,15,0,0,0,0,8,10,21,20,14,23,19,17,23,20,13,9,5,5,2,0,0,0
13,Maryland,57,55,60,53,63,62,43,50,55,46,49,54,31,36,37,36,20,8,31,22,25,33,29,14,29,17,5,4,2,0,0,0,0
14,Massachusetts,72,80,89,116,94,45,56,49,43,39,58,54,40,33,31,36,42,28,36,20,39,34,25,30,30,35,18,22,23,20,10,0,0
15,Michigan,115,119,85,76,77,88,58,70,37,30,42,47,43,34,39,39,33,19,32,46,49,34,32,31,32,26,17,10,17,19,3,0,0
16,Minnesota,36,56,46,65,67,67,63,50,34,37,40,36,40,45,62,57,27,52,38,46,32,40,31,35,26,34,33,35,42,20,16,10,4
17,Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4
18,Missouri,76,109,81,103,91,74,74,66,74,87,69,76,69,69,70,65,72,65,74,71,73,67,93,88,68,76,75,69,70,57,41,25,6
19,Nebraska,4,7,11,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,8,12,2,3,4,3,0,0,0,0
20,New Jersey,13,24,15,16,23,10,0,2,7,17,6,9,3,0,0,0,0,0,0,0,0,0,0,3,6,7,4,8,3,0,0,0,0
21,New York,103,163,135,76,65,67,60,62,67,59,51,57,51,66,62,52,39,28,25,28,21,26,23,30,33,21,24,35,20,19,15,3,0
22,North Carolina,142,151,115,122,110,116,120,142,119,154,135,109,86,65,74,80,73,71,62,90,66,69,47,77,50,55,44,35,27,26,12,1,0
23,Ohio,183,199,170,183,156,135,126,105,104,108,126,161,65,79,70,77,72,54,61,60,65,45,30,14,11,18,16,21,19,18,5,0,0
24,Oklahoma,18,28,36,28,31,22,20,15,17,17,12,14,13,10,9,18,24,14,13,7,9,6,4,4,4,2,5,7,2,5,1,0,0
25,Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,1,3,3,3,2,0,0,0,0
26,Pennsylvania,248,317,350,278,276,220,191,182,163,167,202,201,207,215,161,166,109,93,92,102,86,70,93,111,81,118,91,101,79,61,14,6,5
27,South Carolina,15,15,16,12,15,9,8,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9,6,0,0,0,0,0,0
28,Tennessee,38,38,41,23,20,27,25,24,15,26,34,21,14,14,25,24,25,15,15,14,15,20,23,21,18,15,16,10,14,12,5,0,0
29,Texas,216,253,247,293,270,234,279,273,285,249,206,156,126,116,107,106,79,92,78,77,50,56,74,85,40,49,50,35,37,31,30,20,5
30,Utah,9,9,17,22,13,17,15,16,10,13,9,6,6,14,4,6,12,9,9,6,9,12,9,9,5,8,0,3,1,0,0,0,0
31,Virginia,42,62,52,47,47,32,43,41,39,38,43,48,40,42,73,54,46,46,38,56,51,31,28,23,33,29,22,29,26,13,3,0,0
32,Washington,50,60,51,50,52,53,44,56,41,46,52,46,46,52,52,42,43,37,36,31,27,26,12,13,15,13,14,20,16,8,0,0,0
33,Wisconsin,28,47,33,38,37,40,42,48,40,40,50,45,40,38,39,50,29,36,27,35,31,41,34,36,32,37,26,13,9,3,0,0,1
