Removal_Reason,State,ABO,To_Date,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
All Removal Reason,All Center States,All ABO,"575,383","33,327","38,142","36,588","35,795","35,252","33,963","31,401","29,921","28,865","28,705","27,803","27,104","26,745","25,875","25,389","24,184","21,942","20,597","20,133","18,913","18,285","17,253","15,724","14,621","13,942","13,547"
All Removal Reason,All Center States,O,"273,549","16,028","18,394","17,604","17,262","17,017","16,392","15,032","14,327","13,733","13,701","13,369","13,068","12,714","12,452","12,056","11,495","10,511","9,915","9,599","8,942","8,691","7,997","7,416","6,804","6,459","6,307"
All Removal Reason,All Center States,A,"196,298","11,014","12,561","12,033","11,872","11,819","11,208","10,645","10,116","9,808","9,751","9,225","9,146","9,013","8,671","8,630","8,229","7,451","7,000","6,907","6,587","6,382","6,041","5,485","5,219","5,118","4,808"
All Removal Reason,All Center States,B,"82,113","4,970","5,640","5,503","5,249","5,099","4,942","4,507","4,268","4,122","4,086","4,059","3,811","3,955","3,683","3,635","3,495","3,115","2,878","2,820","2,622","2,501","2,464","2,196","2,006","1,791","1,839"
All Removal Reason,All Center States,AB,"23,527","1,315","1,547","1,449","1,412","1,317","1,421","1,217","1,210","1,203","1,169","1,150","1,079","1,063","1,070","1,068",966,867,804,807,762,712,751,627,592,575,593
All Removal Reason,All Center States,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
All Removal Reason,Alabama,All ABO,"14,620",494,"1,016",952,821,707,703,689,734,655,702,705,675,811,656,634,628,518,543,535,478,484,387,316,304,325,334
All Removal Reason,Alabama,O,"7,201",244,552,500,388,353,321,337,367,321,360,357,338,403,329,304,276,239,289,259,203,235,168,164,149,161,152
All Removal Reason,Alabama,A,"4,513",150,284,287,222,206,222,214,225,200,197,189,209,260,197,203,226,172,155,178,179,159,132,100,100,108,117
All Removal Reason,Alabama,B,"2,352",89,152,148,156,118,132,112,112,104,115,138,101,121,106,107,98,88,81,72,77,74,71,41,35,39,59
All Removal Reason,Alabama,AB,557,11,28,17,55,30,28,26,30,30,30,21,27,27,24,20,28,19,18,26,19,16,16,11,20,17,6
All Removal Reason,Arizona,All ABO,"12,504",930,"1,103",898,923,917,797,737,673,570,618,525,528,480,475,439,389,369,314,320,401,217,261,215,192,184,176
All Removal Reason,Arizona,O,"6,353",475,537,459,504,446,422,376,313,297,306,260,275,233,249,223,190,195,166,168,216,100,133,111,102,103,100
All Removal Reason,Arizona,A,"4,323",321,375,278,289,328,276,267,247,194,219,178,174,161,167,164,144,117,106,109,140,90,85,78,69,65,53
All Removal Reason,Arizona,B,"1,413",104,150,121,102,112,77,71,93,57,62,75,64,69,42,35,45,48,35,34,38,20,27,20,20,11,20
