State,ABO,Ethnicity,To_Date,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
All Center States,All ABO,All Ethnicities,"634,539","33,043","41,105","38,799","35,593","35,417","35,033","36,154","36,393","34,831","33,560","34,400","33,646","32,579","32,371","31,209","29,132","27,274","24,617","23,644","22,497","22,378","21,835","19,473","18,405","17,732","17,257"
All Center States,All ABO,White,"301,516","13,937","17,317","16,378","15,661","15,530","15,365","15,817","15,982","15,675","15,382","15,958","15,671","15,388","15,374","15,161","14,337","13,145","11,989","11,836","11,441","11,709","11,952","10,449","9,845","9,760","9,510"
All Center States,All ABO,Black,"177,840","9,371","11,804","10,925","9,877","10,026","10,251","10,661","10,682","9,992","9,779","10,070","9,801","9,471","9,399","8,820","8,094","7,605","6,960","6,642","6,376","6,256","5,914","5,504","5,180","5,073","4,760"
All Center States,All ABO,Hispanic,"107,669","6,485","7,976","7,529","6,634","6,584","6,256","6,363","6,459","6,197","5,709","5,752","5,674","5,308","5,130","4,955","4,432","4,260","3,881","3,382","3,047","2,882","2,594","2,232","2,161","1,784","1,818"
All Center States,All ABO,Unknown,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
All Center States,All ABO,Asian,"39,572","2,482","3,035","3,030","2,632","2,531","2,467","2,636","2,566","2,314","2,102","2,061","1,970","1,898","1,931","1,781","1,747","1,635","1,286","1,222","1,108","1,067",962,824,772,720,672
All Center States,All ABO,American Indian/Alaska Native,"6,690",264,357,323,320,325,278,350,352,402,338,318,289,315,306,292,312,285,225,237,241,229,213,190,181,198,225
All Center States,All ABO,Pacific Islander,"3,519",176,217,204,147,170,181,149,169,174,153,96,139,121,136,111,136,192,140,173,163,170,96,123,149,87,71
All Center States,All ABO,Multiracial,"5,617",400,515,488,392,315,297,257,251,153,165,187,162,140,157,155,142,217,188,200,150,102,139,175,127,121,225
All Center States,O,All Ethnicities,"305,995","16,154","20,142","18,961","17,206","17,454","16,980","17,581","17,643","16,975","16,237","16,668","16,325","15,759","15,781","15,106","14,114","13,338","11,961","11,496","10,868","10,843","10,481","9,399","8,862","8,553","8,236"
