Year,Died/Too Sick,Other,Received_Deceased,Received_Living,Total,Deceased_perc,Living_perc,Overall_SuccessRate
1995-12-31,2175,3049,7674,1427,14325,0.54,0.1,0.64
1996-12-31,2446,2906,7727,1635,14714,0.53,0.11,0.64
1997-12-31,2760,3032,7778,1872,15442,0.5,0.12,0.62
1998-12-31,3148,3170,8026,2146,16490,0.49,0.13,0.62
1999-12-31,4080,3469,8178,2428,18155,0.45,0.13,0.58
2000-12-31,3980,3753,8669,3047,19449,0.45,0.16,0.6
2001-12-31,4292,3557,8761,3452,20062,0.44,0.17,0.61
2002-12-31,4742,3820,9044,3738,21344,0.42,0.18,0.6
2003-12-31,4799,3863,9165,3970,21797,0.42,0.18,0.6
2004-12-31,5003,4116,9854,4387,23360,0.42,0.19,0.61
2005-12-31,5254,5532,10413,4602,25801,0.4,0.18,0.58
2006-12-31,5710,5581,11176,4737,27204,0.41,0.17,0.58
2007-12-31,5891,6200,11077,4625,27793,0.4,0.17,0.56
2008-12-31,6250,6681,10996,4859,28786,0.38,0.17,0.55
2009-12-31,6630,6321,10911,5381,29243,0.37,0.18,0.56
2010-12-31,6786,6724,11048,5464,30022,0.37,0.18,0.55
2011-12-31,7248,7168,11461,5151,31028,0.37,0.17,0.54
2012-12-31,7287,7600,11293,5086,31266,0.36,0.16,0.52
2013-12-31,7685,7940,11539,5265,32429,0.36,0.16,0.52
2014-12-31,8366,8461,11893,5283,34003,0.35,0.16,0.51
2015-12-31,9171,9504,12584,5585,36844,0.34,0.15,0.49
2016-12-31,9343,9467,13808,5605,38223,0.36,0.15,0.51
2017-12-31,8993,9780,14389,5793,38955,0.37,0.15,0.52
2018-12-31,8465,9955,15119,6430,39969,0.38,0.16,0.54
2019-12-31,8028,10194,16929,6851,42002,0.4,0.16,0.57
2020-12-31,7278,8202,16492,4752,36724,0.45,0.13,0.58
