Year,Total,Diabetes,Obesity,Overdose,Total_Adj
12/31/1995,14325,4.98,15,5.5,14166
12/31/1996,14714,5.23,15,5.5,14537
12/31/1997,15442,5.52,16,5.7,15247
12/31/1998,16490,5.8,17,5.9,16281
12/31/1999,18155,6.09,18,6.1,17932
12/31/2000,19449,6.41,19,6.2,19227
12/31/2001,20062,6.62,20,6.8,19855
12/31/2002,21344,6.85,21,8.2,21143
12/31/2003,21797,7.12,22,8.9,21605
12/31/2004,23360,6.92,22,9.4,23154
12/31/2005,25801,7.19,23,10.1,25569
12/31/2006,27204,7.41,24,11.5,26948
12/31/2007,27793,7.8,25,11.9,27526
12/31/2008,28786,8.1,26,11.9,28510
12/31/2009,29243,8.36,27,11.9,28971
12/31/2010,30022,8.59,27,12.3,29758
12/31/2011,31028,9.54,28,13.2,30770
12/31/2012,31266,9.72,28,13.1,31019
12/31/2013,32429,9.81,29,13.8,32186
12/31/2014,34003,10.13,29,14.7,33758
12/31/2015,36844,10.12,29,16.3,36590
12/31/2016,38223,10.41,30,19.8,37967
12/31/2017,38955,10.51,31,21.7,38706
12/31/2018,39969,11.09,31,20.7,39721
12/31/2019,42002,10.77,32,19.9,41750
