Year,Waitlist,Diabetes,Obesity,Overdose,Pct_O,Total_Adj
12/31/1995,17257,4.98,15,5.5,47.7255606,17065
12/31/1996,17732,5.23,15,5.5,48.2348297,17519
12/31/1997,18405,5.52,16,5.7,48.1499593,18173
12/31/1998,19473,5.8,17,5.9,48.266831,19226
12/31/1999,21835,6.09,18,6.1,48.000916,21566
12/31/2000,22378,6.41,19,6.2,48.4538386,22123
12/31/2001,22497,6.62,20,6.8,48.3086634,22265
12/31/2002,23644,6.85,21,8.2,48.6212147,23422
12/31/2003,24617,7.12,22,8.9,48.5883739,24400
12/31/2004,27274,6.92,22,9.4,48.9037178,27034
12/31/2005,29132,7.19,23,10.1,48.4484416,28870
12/31/2006,31209,7.41,24,11.5,48.4027043,30916
12/31/2007,32371,7.8,25,11.9,48.7504248,32060
12/31/2008,32579,8.1,26,11.9,48.3716504,32266
12/31/2009,33646,8.36,27,11.9,48.5198835,33333
12/31/2010,34400,8.59,27,12.3,48.4534884,34097
12/31/2011,33560,9.54,28,13.2,48.3820024,33281
12/31/2012,34831,9.72,28,13.1,48.735322,34556
12/31/2013,36393,9.81,29,13.8,48.4791031,36120
12/31/2014,36154,10.13,29,14.7,48.6280909,35894
12/31/2015,35033,10.12,29,16.3,48.4685868,34791
12/31/2016,35417,10.41,30,19.8,49.2814185,35180
12/31/2017,35593,10.51,31,21.7,48.3409659,35365
12/31/2018,38799,11.09,31,20.7,48.8698162,38558
12/31/2019,41105,10.77,32,19.9,49.001338,40858
